order_id|product_id|date_id|customer_id|category_id|supplier_id|freight|unit_price|quantity|discount|amount
10248|11|19960704|VINET|4|5|32.38|14.0|12|0.0|168.0
10248|42|19960704|VINET|5|20|32.38|9.8|10|0.0|98.0
10248|72|19960704|VINET|4|14|32.38|34.8|5|0.0|174.0
10249|14|19960705|TOMSP|7|6|11.61|18.6|9|0.0|167.4
10249|51|19960705|TOMSP|7|24|11.61|42.4|40|0.0|1696.0
10250|41|19960708|HANAR|8|19|65.83|7.7|10|0.0|77.0
10250|51|19960708|HANAR|7|24|65.83|42.4|35|0.15|1484.0
10250|65|19960708|HANAR|2|2|65.83|16.8|15|0.15|252.0
10251|22|19960708|VICTE|5|9|41.34|16.8|6|0.05|100.80000000000001
10251|57|19960708|VICTE|5|26|41.34|15.6|15|0.05|234.0
10251|65|19960708|VICTE|2|2|41.34|16.8|20|0.0|336.0
10252|20|19960709|SUPRD|3|8|51.3|64.8|40|0.05|2592.0
10252|33|19960709|SUPRD|4|15|51.3|2.0|25|0.05|50.0
10252|60|19960709|SUPRD|4|28|51.3|27.2|40|0.0|1088.0
10253|31|19960710|HANAR|4|14|58.17|10.0|20|0.0|200.0
10253|39|19960710|HANAR|1|18|58.17|14.4|42|0.0|604.8000000000001
10253|49|19960710|HANAR|3|23|58.17|16.0|40|0.0|640.0
10254|24|19960711|CHOPS|1|10|22.98|3.6|15|0.15|54.0
10254|55|19960711|CHOPS|6|25|22.98|19.2|21|0.15|403.2
10254|74|19960711|CHOPS|7|4|22.98|8.0|21|0.0|168.0
10255|2|19960712|RICSU|1|1|148.33|15.2|20|0.0|304.0
10255|16|19960712|RICSU|3|7|148.33|13.9|35|0.0|486.5
10255|36|19960712|RICSU|8|17|148.33|15.2|25|0.0|380.0
10255|59|19960712|RICSU|4|28|148.33|44.0|30|0.0|1320.0
10256|53|19960715|WELLI|6|24|13.97|26.2|15|0.0|393.0
10256|77|19960715|WELLI|2|12|13.97|10.4|12|0.0|124.80000000000001
10257|27|19960716|HILAA|3|11|81.91|35.1|25|0.0|877.5
10257|39|19960716|HILAA|1|18|81.91|14.4|6|0.0|86.4
10257|77|19960716|HILAA|2|12|81.91|10.4|15|0.0|156.0
10258|2|19960717|ERNSH|1|1|140.51|15.2|50|0.2|760.0
10258|5|19960717|ERNSH|2|2|140.51|17.0|65|0.2|1105.0
10258|32|19960717|ERNSH|4|14|140.51|25.6|6|0.2|153.60000000000002
10259|21|19960718|CENTC|3|8|3.25|8.0|10|0.0|80.0
10259|37|19960718|CENTC|8|17|3.25|20.8|1|0.0|20.8
10260|41|19960719|OTTIK|8|19|55.09|7.7|16|0.25|123.2
10260|57|19960719|OTTIK|5|26|55.09|15.6|50|0.0|780.0
10260|62|19960719|OTTIK|3|29|55.09|39.4|15|0.25|591.0
10260|70|19960719|OTTIK|1|7|55.09|12.0|21|0.25|252.0
10261|21|19960719|QUEDE|3|8|3.05|8.0|20|0.0|160.0
10261|35|19960719|QUEDE|1|16|3.05|14.4|20|0.0|288.0
10262|5|19960722|RATTC|2|2|48.29|17.0|12|0.2|204.0
10262|7|19960722|RATTC|7|3|48.29|24.0|15|0.0|360.0
10262|56|19960722|RATTC|5|26|48.29|30.4|2|0.0|60.8
10263|16|19960723|ERNSH|3|7|146.06|13.9|60|0.25|834.0
10263|24|19960723|ERNSH|1|10|146.06|3.6|28|0.0|100.8
10263|30|19960723|ERNSH|8|13|146.06|20.7|60|0.25|1242.0
10263|74|19960723|ERNSH|7|4|146.06|8.0|36|0.25|288.0
10264|2|19960724|FOLKO|1|1|3.67|15.2|35|0.0|532.0
10264|41|19960724|FOLKO|8|19|3.67|7.7|25|0.15|192.5
10265|17|19960725|BLONP|6|7|55.28|31.2|30|0.0|936.0
10265|70|19960725|BLONP|1|7|55.28|12.0|20|0.0|240.0
10266|12|19960726|WARTH|4|5|25.73|30.4|12|0.05|364.79999999999995
10267|40|19960729|FRANK|8|19|208.58|14.7|50|0.0|735.0
10267|59|19960729|FRANK|4|28|208.58|44.0|70|0.15|3080.0
10267|76|19960729|FRANK|1|23|208.58|14.4|15|0.15|216.0
10268|29|19960730|GROSR|6|12|66.29|99.0|10|0.0|990.0
10268|72|19960730|GROSR|4|14|66.29|27.8|4|0.0|111.2
10269|33|19960731|WHITC|4|15|4.56|2.0|60|0.05|120.0
10269|72|19960731|WHITC|4|14|4.56|27.8|20|0.05|556.0
10270|36|19960801|WARTH|8|17|136.54|15.2|30|0.0|456.0
10270|43|19960801|WARTH|1|20|136.54|36.8|25|0.0|919.9999999999999
10271|33|19960801|SPLIR|4|15|4.54|2.0|24|0.0|48.0
10272|20|19960802|RATTC|3|8|98.03|64.8|6|0.0|388.79999999999995
10272|31|19960802|RATTC|4|14|98.03|10.0|40|0.0|400.0
10272|72|19960802|RATTC|4|14|98.03|27.8|24|0.0|667.2
10273|10|19960805|QUICK|8|4|76.07|24.8|24|0.05|595.2
10273|31|19960805|QUICK|4|14|76.07|10.0|15|0.05|150.0
10273|33|19960805|QUICK|4|15|76.07|2.0|20|0.0|40.0
10273|40|19960805|QUICK|8|19|76.07|14.7|60|0.05|882.0
10273|76|19960805|QUICK|1|23|76.07|14.4|33|0.05|475.2
10274|71|19960806|VINET|4|15|6.01|17.2|20|0.0|344.0
10274|72|19960806|VINET|4|14|6.01|27.8|7|0.0|194.6
10275|24|19960807|MAGAA|1|10|26.93|3.6|12|0.05|43.2
10275|59|19960807|MAGAA|4|28|26.93|44.0|6|0.05|264.0
10276|10|19960808|TORTU|8|4|13.84|24.8|15|0.0|372.0
10276|13|19960808|TORTU|8|6|13.84|4.8|10|0.0|48.0
10277|28|19960809|MORGK|7|12|125.77|36.4|20|0.0|728.0
10277|62|19960809|MORGK|3|29|125.77|39.4|12|0.0|472.79999999999995
10278|44|19960812|BERGS|2|20|92.69|15.5|16|0.0|248.0
10278|59|19960812|BERGS|4|28|92.69|44.0|15|0.0|660.0
10278|63|19960812|BERGS|2|7|92.69|35.1|8|0.0|280.8
10278|73|19960812|BERGS|8|17|92.69|12.0|25|0.0|300.0
10279|17|19960813|LEHMS|6|7|25.83|31.2|15|0.25|468.0
10280|24|19960814|BERGS|1|10|8.98|3.6|12|0.0|43.2
10280|55|19960814|BERGS|6|25|8.98|19.2|20|0.0|384.0
10280|75|19960814|BERGS|1|12|8.98|6.2|30|0.0|186.0
10281|19|19960814|ROMEY|3|8|2.94|7.3|1|0.0|7.3
10281|24|19960814|ROMEY|1|10|2.94|3.6|6|0.0|21.6
10281|35|19960814|ROMEY|1|16|2.94|14.4|4|0.0|57.6
10282|30|19960815|ROMEY|8|13|12.69|20.7|6|0.0|124.19999999999999
10282|57|19960815|ROMEY|5|26|12.69|15.6|2|0.0|31.2
10283|15|19960816|LILAS|2|6|84.81|12.4|20|0.0|248.0
10283|19|19960816|LILAS|3|8|84.81|7.3|18|0.0|131.4
10283|60|19960816|LILAS|4|28|84.81|27.2|35|0.0|952.0
10283|72|19960816|LILAS|4|14|84.81|27.8|3|0.0|83.4
10284|27|19960819|LEHMS|3|11|76.56|35.1|15|0.25|526.5
10284|44|19960819|LEHMS|2|20|76.56|15.5|21|0.0|325.5
10284|60|19960819|LEHMS|4|28|76.56|27.2|20|0.25|544.0
10284|67|19960819|LEHMS|1|16|76.56|11.2|5|0.25|56.0
10285|1|19960820|QUICK|1|8|76.83|14.4|45|0.2|648.0
10285|40|19960820|QUICK|8|19|76.83|14.7|40|0.2|588.0
10285|53|19960820|QUICK|6|24|76.83|26.2|36|0.2|943.1999999999999
10286|35|19960821|QUICK|1|16|229.24|14.4|100|0.0|1440.0
10286|62|19960821|QUICK|3|29|229.24|39.4|40|0.0|1576.0
10287|16|19960822|RICAR|3|7|12.76|13.9|40|0.15|556.0
10287|34|19960822|RICAR|1|16|12.76|11.2|20|0.0|224.0
10287|46|19960822|RICAR|8|21|12.76|9.6|15|0.15|144.0
10288|54|19960823|REGGC|6|25|7.45|5.9|10|0.1|59.0
10288|68|19960823|REGGC|3|8|7.45|10.0|3|0.1|30.0
10289|3|19960826|BSBEV|2|1|22.77|8.0|30|0.0|240.0
10289|64|19960826|BSBEV|5|12|22.77|26.6|9|0.0|239.4
10290|5|19960827|COMMI|2|2|79.7|17.0|20|0.0|340.0
10290|29|19960827|COMMI|6|12|79.7|99.0|15|0.0|1485.0
10290|49|19960827|COMMI|3|23|79.7|16.0|15|0.0|240.0
10290|77|19960827|COMMI|2|12|79.7|10.4|10|0.0|104.0
10291|13|19960827|QUEDE|8|6|6.4|4.8|20|0.1|96.0
10291|44|19960827|QUEDE|2|20|6.4|15.5|24|0.1|372.0
10291|51|19960827|QUEDE|7|24|6.4|42.4|2|0.1|84.8
10292|20|19960828|TRADH|3|8|1.35|64.8|20|0.0|1296.0
10293|18|19960829|TORTU|8|7|21.18|50.0|12|0.0|600.0
10293|24|19960829|TORTU|1|10|21.18|3.6|10|0.0|36.0
10293|63|19960829|TORTU|2|7|21.18|35.1|5|0.0|175.5
10293|75|19960829|TORTU|1|12|21.18|6.2|6|0.0|37.2
10294|1|19960830|RATTC|1|8|147.26|14.4|18|0.0|259.2
10294|17|19960830|RATTC|6|7|147.26|31.2|15|0.0|468.0
10294|43|19960830|RATTC|1|20|147.26|36.8|15|0.0|552.0
10294|60|19960830|RATTC|4|28|147.26|27.2|21|0.0|571.1999999999999
10294|75|19960830|RATTC|1|12|147.26|6.2|6|0.0|37.2
10295|56|19960902|VINET|5|26|1.15|30.4|4|0.0|121.6
10296|11|19960903|LILAS|4|5|0.12|16.8|12|0.0|201.60000000000002
10296|16|19960903|LILAS|3|7|0.12|13.9|30|0.0|417.0
10296|69|19960903|LILAS|4|15|0.12|28.8|15|0.0|432.0
10297|39|19960904|BLONP|1|18|5.74|14.4|60|0.0|864.0
10297|72|19960904|BLONP|4|14|5.74|27.8|20|0.0|556.0
10298|2|19960905|HUNGO|1|1|168.22|15.2|40|0.0|608.0
10298|36|19960905|HUNGO|8|17|168.22|15.2|40|0.25|608.0
10298|59|19960905|HUNGO|4|28|168.22|44.0|30|0.25|1320.0
10298|62|19960905|HUNGO|3|29|168.22|39.4|15|0.0|591.0
10299|19|19960906|RICAR|3|8|29.76|7.3|15|0.0|109.5
10299|70|19960906|RICAR|1|7|29.76|12.0|20|0.0|240.0
10300|66|19960909|MAGAA|2|2|17.68|13.6|30|0.0|408.0
10300|68|19960909|MAGAA|3|8|17.68|10.0|20|0.0|200.0
10301|40|19960909|WANDK|8|19|45.08|14.7|10|0.0|147.0
10301|56|19960909|WANDK|5|26|45.08|30.4|20|0.0|608.0
10302|17|19960910|SUPRD|6|7|6.27|31.2|40|0.0|1248.0
10302|28|19960910|SUPRD|7|12|6.27|36.4|28|0.0|1019.1999999999999
10302|43|19960910|SUPRD|1|20|6.27|36.8|12|0.0|441.59999999999997
10303|40|19960911|GODOS|8|19|107.83|14.7|40|0.1|588.0
10303|65|19960911|GODOS|2|2|107.83|16.8|30|0.1|504.0
10303|68|19960911|GODOS|3|8|107.83|10.0|15|0.1|150.0
10304|49|19960912|TORTU|3|23|63.79|16.0|30|0.0|480.0
10304|59|19960912|TORTU|4|28|63.79|44.0|10|0.0|440.0
10304|71|19960912|TORTU|4|15|63.79|17.2|2|0.0|34.4
10305|18|19960913|OLDWO|8|7|257.62|50.0|25|0.1|1250.0
10305|29|19960913|OLDWO|6|12|257.62|99.0|25|0.1|2475.0
10305|39|19960913|OLDWO|1|18|257.62|14.4|30|0.1|432.0
10306|30|19960916|ROMEY|8|13|7.56|20.7|10|0.0|207.0
10306|53|19960916|ROMEY|6|24|7.56|26.2|10|0.0|262.0
10306|54|19960916|ROMEY|6|25|7.56|5.9|5|0.0|29.5
10307|62|19960917|LONEP|3|29|0.56|39.4|10|0.0|394.0
10307|68|19960917|LONEP|3|8|0.56|10.0|3|0.0|30.0
10308|69|19960918|ANATR|4|15|1.61|28.8|1|0.0|28.8
10308|70|19960918|ANATR|1|7|1.61|12.0|5|0.0|60.0
10309|4|19960919|HUNGO|2|2|47.3|17.6|20|0.0|352.0
10309|6|19960919|HUNGO|2|3|47.3|20.0|30|0.0|600.0
10309|42|19960919|HUNGO|5|20|47.3|11.2|2|0.0|22.4
10309|43|19960919|HUNGO|1|20|47.3|36.8|20|0.0|736.0
